fold,model,Acc,F1,Prec,Rec,AUC
1,RF,86.19477911646585,80.18559277739898,85.09259259259258,77.52643217964119,90.60858767621995
1,XGBoost,87.85140562248996,83.73636161211311,85.15758065082318,82.58983947405072,91.71715778088137
1,BiLSTM,86.54618473895582,82.03750933695821,83.27533427974389,81.02766283953784,88.95308654187822
1,LTN,86.14457831325302,81.50131558582262,82.71921339045298,80.50910662291567,89.35788318688199
1,NeSy-SMP,85.34136546184739,81.60257586204716,80.82108379314042,82.55027092740083,89.73586693514272
2,RF,86.24497991967871,79.75249287749287,86.35022584730484,76.63698591802282,90.04642796246715
2,XGBoost,86.99799196787149,82.21535862942632,84.5784887148888,80.53364172503244,90.69917882249732
2,BiLSTM,86.24497991967871,81.92322417655498,82.53233740207688,81.37753209412628,89.26039357687947
2,LTN,86.04417670682732,81.53961853558627,82.38666292695942,80.81042631204225,89.24178074079087
2,NeSy-SMP,86.79718875502009,82.11777780887688,83.99697362732383,80.70532236000348,88.95386750003578
3,RF,85.2409638554217,78.01539096812944,85.15028790258148,74.90963663318526,88.46576865155859
3,XGBoost,85.99397590361446,80.86924973056033,83.07108478341355,79.2988167182316,90.64828638256277
3,BiLSTM,85.69277108433735,80.7287513709532,82.28722465455498,79.52555490331086,87.09583788349927
3,LTN,85.14056224899599,80.44654795509052,81.07419821463125,79.88993696366072,87.40210364095711
3,NeSy-SMP,84.83935742971887,79.81280712798672,80.86361586233217,78.94692998840277,87.02307861515293
4,RF,86.34538152610442,79.93384164361889,86.44182267899797,76.82819050693294,91.21461120648924
4,XGBoost,87.85140562248996,83.48806366047745,85.61521756498624,81.91261859175022,91.9274958446518
4,BiLSTM,85.64257028112449,81.15583075335397,81.70413787070248,80.6612633039476,90.2529913951427
4,LTN,86.79718875502009,82.50118992149024,83.45236459564178,81.69037091607694,90.50953614990233
4,NeSy-SMP,85.8433734939759,81.74334921064126,81.70454766773784,81.78245889882297,89.2920223822608
5,RF,87.3932697137117,81.37141647254941,88.51377292347658,77.99556087624443,91.04533279083172
5,XGBoost,88.09643395278755,83.46162945360679,86.71182190691701,81.31251483402842,92.0090556038069
5,BiLSTM,87.24259166248116,83.04111334674715,84.09274433293604,82.15410958010897,90.2857001270184
5,LTN,86.23807132094426,82.40803085416506,82.0707302754167,82.77009668526301,90.35990287134624
5,NeSy-SMP,85.68558513309894,81.96824458627873,81.24408891757375,82.8279330949456,89.81009835449872
