fold,model,Acc,F1,Prec,Rec,AUC
1,RF,87.52747252747253,66.01617509640568,84.65003667426116,62.272427357226114,86.67014582581368
1,XGBoost,88.48901098901098,74.15017663322814,80.37877316735474,70.76983293139082,88.09610295858803
1,BiLSTM,87.58241758241758,73.75712903042634,77.03051399279579,71.53040087729987,87.32171225208117
1,LTN,85.96153846153847,74.92320396366638,73.58095963357205,76.62493591526791,87.48623471449821
1,NeSy-SMP,86.67582417582418,74.9747642596994,74.6481178396072,75.31806718149025,86.94188807989498
2,RF,87.36263736263736,66.36551509132573,82.3698930032457,62.67935103719559,87.05770039841737
2,XGBoost,87.74725274725274,74.061746668405,77.44403390567268,71.77214113124784,89.11525136158502
2,BiLSTM,86.62087912087912,73.70690799568496,74.52540837239317,72.97917562320247,87.8608573904927
2,LTN,85.79670329670328,74.22392563963874,73.20201239404143,75.44623664566143,87.84815539426766
2,NeSy-SMP,82.22527472527472,72.43921297492031,69.94707444928136,78.37689179278618,88.14449698945445
3,RF,87.77472527472527,67.11983963867955,85.25584921476295,63.13149574349271,87.17716057991576
3,XGBoost,88.43406593406593,75.53634961864745,79.14257770049988,73.0863795784069,88.91810162013003
3,BiLSTM,87.63736263736264,73.69562075444428,77.29879165867499,71.32009979390389,87.43823860430867
3,LTN,86.34615384615385,75.4823056889242,74.23076923076923,77.02751563799399,87.86850942182323
3,NeSy-SMP,85.49450549450549,73.79786927728189,72.73646597747872,75.08486901045747,86.50193900221016
4,RF,87.44505494505495,66.15387182183883,83.71951485265642,62.43285806687477,87.82500598315762
4,XGBoost,88.21428571428571,73.8685640110238,79.42675740508969,70.72692065099051,89.205063616605
4,BiLSTM,88.1043956043956,74.62451243247872,78.47308488612836,72.10009119652247,88.29654193576529
4,LTN,86.18131868131869,75.72457873807107,74.07463460184064,77.93666863522596,88.32718947698882
4,NeSy-SMP,85.9065934065934,75.73065566298347,73.77329975773601,78.56500062270753,88.36529803012068
5,RF,87.17032967032966,64.57809217055977,83.81383912159865,61.191460470124106,87.78620872123419
5,XGBoost,87.93956043956044,73.4033230699991,78.5887497227927,70.42038784635596,89.23553898063064
5,BiLSTM,87.63736263736264,74.95987158908507,76.82720248998085,73.47748008340264,87.8929011915236
5,LTN,86.56593406593407,75.42238206931347,74.53995214138534,76.43855483642878,87.62829353457406
5,NeSy-SMP,84.47802197802197,74.6421561392652,72.18624080861429,79.08526272231663,87.59790425914736
