fold,model,Acc,F1,Prec,Rec,AUC
1,RF,87.52747252747253,66.01617509640568,84.65003667426116,62.272427357226114,86.67014582581368
1,XGBoost,88.48901098901098,74.15017663322814,80.37877316735474,70.76983293139082,88.09610295858803
1,BiLSTM,86.62087912087912,72.16911734114183,74.65980967002007,70.38451988753273,87.03482531019309
1,LTN,85.6043956043956,73.82242353939674,72.85487644761648,74.9720096282281,87.18276620740234
1,NeSy-SMP,86.31868131868133,74.21290993296313,73.97678611674554,74.4579523692384,86.91671398782907
2,RF,87.36263736263736,66.36551509132573,82.3698930032457,62.67935103719559,87.05770039841737
2,XGBoost,87.74725274725274,74.061746668405,77.44403390567268,71.77214113124784,89.11525136158502
2,BiLSTM,87.44505494505495,72.50951106334027,77.10627468298333,69.79137689639079,87.9359198659221
2,LTN,86.04395604395604,74.09766549523059,73.52450357487331,74.72774047005433,87.60549553878303
2,NeSy-SMP,85.93406593406593,73.52552781887897,73.26464976097846,73.7977934161128,87.26966855261615
3,RF,87.77472527472527,67.11983963867955,85.25584921476295,63.13149574349271,87.17716057991576
3,XGBoost,88.43406593406593,75.53634961864745,79.14257770049988,73.0863795784069,88.91810162013003
3,BiLSTM,87.3076923076923,75.40891554031131,75.91537190161515,74.93622269628344,87.32821737486017
3,LTN,84.83516483516483,74.33874975478977,72.27364931436983,77.57087817831933,88.31301355436293
3,NeSy-SMP,82.25274725274726,72.66169251403049,70.12864683933581,78.84602250585546,87.69908705910441
4,RF,87.44505494505495,66.15387182183883,83.71951485265642,62.43285806687477,87.82500598315762
4,XGBoost,88.21428571428571,73.8685640110238,79.42675740508969,70.72692065099051,89.205063616605
4,BiLSTM,88.07692307692308,75.42016126823852,77.96596291143274,73.52207397765484,88.11816635875644
4,LTN,85.79670329670328,75.60116432133785,73.61967275494672,78.49991764190702,88.38900109102951
4,NeSy-SMP,82.55494505494505,73.19431892126906,70.58075910735691,79.60030211358988,88.29166358182519
5,RF,87.17032967032966,64.57809217055977,83.81383912159865,61.191460470124106,87.78620872123419
5,XGBoost,87.93956043956044,73.4033230699991,78.5887497227927,70.42038784635596,89.23553898063064
5,BiLSTM,87.14285714285714,74.08126898808132,75.72939158471456,72.75313061190054,87.81358489569794
5,LTN,85.41208791208791,75.53252803833496,73.25018274853801,79.20699200122131,87.78104340529767
5,NeSy-SMP,84.25824175824175,74.10895733102242,71.77172964485928,78.23596999754933,86.9588398929976
