fold,model,Acc,F1,Prec,Rec,AUC
1,RF,86.19477911646585,80.18559277739898,85.09259259259258,77.52643217964119,90.60858767621995
1,XGBoost,87.85140562248996,83.73636161211311,85.15758065082318,82.58983947405072,91.71715778088137
1,BiLSTM,86.39558232931726,82.03974244960331,82.823399895361,81.35651130371853,89.95050026877976
1,LTN,86.54618473895582,82.29619882420359,82.96105449610084,81.70488372183833,89.56275454354949
1,NeSy-SMP,86.19477911646585,81.79838471463037,82.52656322182668,81.15879873016203,89.92238577510747
2,RF,86.24497991967871,79.75249287749287,86.35022584730484,76.63698591802282,90.04642796246715
2,XGBoost,86.99799196787149,82.21535862942632,84.5784887148888,80.53364172503244,90.69917882249732
2,BiLSTM,86.24497991967871,81.94649519726919,82.50842849740584,81.43909762888087,89.35410855578712
2,LTN,86.69678714859438,81.9060484212352,83.97147147147147,80.39098670158418,89.45231404410072
2,NeSy-SMP,86.49598393574297,81.70981836725429,83.56636402939905,80.31640519753687,88.70070689729228
3,RF,85.2409638554217,78.01539096812944,85.15028790258148,74.90963663318526,88.46576865155859
3,XGBoost,85.99397590361446,80.86924973056033,83.07108478341355,79.2988167182316,90.64828638256277
3,BiLSTM,85.34136546184739,80.24185439821734,81.80614259545685,79.04103544638919,87.21174509005098
3,LTN,84.73895582329317,79.02042083324095,81.39627487036316,77.40128363489166,86.97361793184058
3,NeSy-SMP,84.63855421686746,79.73337447268045,80.4387135748952,79.11861062337383,87.03231995335078
4,RF,86.34538152610442,79.93384164361889,86.44182267899797,76.82819050693294,91.21461120648924
4,XGBoost,87.85140562248996,83.48806366047745,85.61521756498624,81.91261859175022,91.9274958446518
4,BiLSTM,86.79718875502009,82.33699014484857,83.67235345581803,81.2594121727948,90.40189408385149
4,LTN,85.79317269076306,81.8660644924704,81.51838656317598,82.24094641715922,90.45682147426676
4,NeSy-SMP,85.7429718875502,81.76931673607969,81.47419388202006,82.08377858794955,89.95948128759176
5,RF,87.3932697137117,81.37141647254941,88.51377292347658,77.99556087624443,91.04533279083172
5,XGBoost,88.09643395278755,83.46162945360679,86.71182190691701,81.31251483402842,92.0090556038069
5,BiLSTM,86.639879457559,82.04744897682465,83.52253262325205,80.88118693092756,89.9148168144201
5,LTN,85.88648920140632,82.18027867730365,81.50898121486357,82.96408013374752,89.77932182082321
5,NeSy-SMP,86.69010547463586,82.70196990634872,82.88972506442772,82.52068939435433,90.1568559945124
