pred	correct	conf	rule
7	7	1.0	increaseRiskOf(X,Death) <= increasesRiskOf(X,A)
7	7	1.0	increaseRiskOf(X,Death) <= increasesRiskOf(X,Sepsis)
2	2	1.0	rdf-schema#subClassOf(X,Outcome) <= hasOutcome(A,X)
2	2	1.0	hasOutcome(X,Y) <= hasOutcome(X,A), 22-rdf-syntax-ns#type(A,B), rdf-schema#subClassOf(Y,B)
17	15	0.8823529411764706	increaseRiskOf(X,Death) <= rdf-schema#subClassOf(X,A)
2	2	1.0	hasOutcome(X,Y) <= hasOutcome(X,A), rdf-schema#subClassOf(A,B), 22-rdf-syntax-ns#type(Y,B)
2	2	1.0	increaseRiskOf(X,Death) <= lessOrEqual(X,A)
4	4	1.0	hasOutcome(X,Y) <= hasOutcome(X,A), rdf-schema#subClassOf(A,B), rdf-schema#subClassOf(Y,B)
3	3	1.0	increaseRiskOf(X,Death) <= causedBy(X,Sepsis)
16	15	0.9375	increaseRiskOf(X,Death) <= rdf-schema#subClassOf(X,RiskFactor)
7	7	1.0	increaseRiskOf(X,Death) <= rdf-schema#subClassOf(X,Comorbidity)
3	3	1.0	increaseRiskOf(X,Death) <= causedBy(X,A)
2	2	1.0	rdf-schema#subClassOf(X,Outcome) <= hasOutcome(Patient,X)
2	2	1.0	hasOutcome(Patient,Y) <= rdf-schema#subClassOf(Y,Outcome)
