pred	correct	conf	rule
17	17	1.0	increasesRiskOf(X,Death) <= increasesRiskOf(X,A)
17	17	1.0	increaseRiskOf(X,Death) <= increasesRiskOf(X,A)
7	7	1.0	increaseRiskOf(X,Death) <= increasesRiskOf(X,Sepsis)
16	16	1.0	increasesRiskOf(X,Death) <= rdf-schema#subClassOf(X,RiskFactor)
7	7	1.0	increasesRiskOf(X,Death) <= increasesRiskOf(X,Sepsis)
7	7	1.0	increasesRiskOf(X,Death) <= increaseRiskOf(X,Sepsis)
2	2	1.0	rdf-schema#subClassOf(X,Outcome) <= hasOutcome(A,X)
2	2	1.0	hasOutcome(X,Y) <= hasOutcome(X,A), 22-rdf-syntax-ns#type(A,B), rdf-schema#subClassOf(Y,B)
3	3	1.0	increasesRiskOf(X,Death) <= associatedWith(X,Death)
18	17	0.9444444444444444	increaseRiskOf(X,Death) <= rdf-schema#subClassOf(X,A)
3	3	1.0	associatedWith(X,Death) <= associatedWith(X,A)
2	2	1.0	hasOutcome(X,Y) <= hasOutcome(X,A), rdf-schema#subClassOf(A,B), 22-rdf-syntax-ns#type(Y,B)
17	17	1.0	increasesRiskOf(X,Death) <= increaseRiskOf(X,Death)
17	17	1.0	increasesRiskOf(X,Death) <= increaseRiskOf(X,A)
7	7	1.0	increaseRiskOf(X,Death) <= increaseRiskOf(X,Sepsis)
4	4	1.0	hasOutcome(X,Y) <= hasOutcome(X,A), rdf-schema#subClassOf(A,B), rdf-schema#subClassOf(Y,B)
16	16	1.0	increaseRiskOf(X,Death) <= rdf-schema#subClassOf(X,RiskFactor)
3	3	1.0	increaseRiskOf(X,Death) <= associatedWith(X,A)
7	7	1.0	increaseRiskOf(X,Death) <= rdf-schema#subClassOf(X,Comorbidity)
3	3	1.0	increasesRiskOf(X,Death) <= associatedWith(X,A)
3	3	1.0	increaseRiskOf(X,Death) <= associatedWith(X,Death)
17	17	1.0	increaseRiskOf(X,Death) <= increasesRiskOf(X,Death)
2	2	1.0	rdf-schema#subClassOf(X,Outcome) <= hasOutcome(Patient,X)
18	17	0.9444444444444444	increasesRiskOf(X,Death) <= rdf-schema#subClassOf(X,A)
2	2	1.0	hasOutcome(Patient,Y) <= rdf-schema#subClassOf(Y,Outcome)
7	7	1.0	increasesRiskOf(X,Death) <= rdf-schema#subClassOf(X,Comorbidity)
17	17	1.0	increaseRiskOf(X,Death) <= increaseRiskOf(X,A)
