row_id,src
Q01,regex
Q02,oneshot_run1
Q03,zeroshot_run2
Q04,zeroshot_run2
Q05,oneshot_run2
Q06,oneshot_run1
Q07,fewshot_run1
Q08,oneshot_run2
Q09,zeroshot_run1
Q10,oneshot_run2
Q11,oneshot_run1
Q12,zeroshot_run2
Q13,zeroshot_run1
Q14,fewshot_run1
Q15,fewshot_run1
Q16,oneshot_run2
Q17,oneshot_run2
Q18,zeroshot_run2
Q19,fewshot_run1
Q20,zeroshot_run1
Q21,fewshot_run1
Q22,regex
Q23,zeroshot_run2
Q24,oneshot_run1
Q25,zeroshot_run1
Q26,regex
Q27,regex
Q28,regex
Q29,regex
Q30,fewshot_run1
Q31,regex
Q32,fewshot_run1
Q33,oneshot_run1
Q34,zeroshot_run1
Q35,regex
Q36,zeroshot_run1
Q37,regex
Q38,zeroshot_run1
Q39,oneshot_run1
Q40,oneshot_run2
Q41,regex
Q42,zeroshot_run2
Q43,oneshot_run2
Q44,oneshot_run2
Q45,oneshot_run1
Q46,regex
Q47,oneshot_run1
Q48,zeroshot_run1
Q49,zeroshot_run1
Q50,zeroshot_run2
Q51,fewshot_run1
Q52,zeroshot_run2
Q53,oneshot_run1
Q54,regex
Q55,fewshot_run1
Q56,zeroshot_run1
Q57,fewshot_run1
