run,chunk,gold,found,optional,variable,operator,threshold,unit,statement_type,no_invented_aggregation,no_invented_time_window,no_invented_missing,combine,evidence_verbatim,spec
grounding_run1,Q,Q1,True,False,True,True,True,True,True,True,True,True,True,True,"{""variable"": ""gcs"", ""operator"": ""<"", ""threshold"": 15, ""unit"": null, ""statement_type"": ""risk_condition"", ""consequent"": {""predicate"": ""predicts"", ""object"": ""Death""}}"
grounding_run1,Q,Q2,True,False,True,True,True,True,True,True,True,True,True,True,"{""variable"": ""Respiratory Rate"", ""operator"": "">="", ""threshold"": 22, ""unit"": ""breaths/min"", ""statement_type"": ""risk_condition"", ""consequent"": {""predicate"": ""predicts"", ""object"": ""Death""}}"
grounding_run1,Q,Q3,True,False,True,True,True,True,True,True,True,True,True,True,"{""variable"": ""Arterial Blood Pressure systolic"", ""operator"": ""<="", ""threshold"": 100, ""unit"": ""mmHg"", ""statement_type"": ""risk_condition"", ""consequent"": {""predicate"": ""predicts"", ""object"": ""Death""}}"
grounding_run1,L,L1,True,False,True,True,True,True,True,True,True,True,,True,"{""variable"": ""Lactate"", ""operator"": null, ""threshold"": null, ""unit"": null, ""statement_type"": ""risk_condition"", ""consequent"": {""predicate"": ""associatedWith"", ""object"": ""Death""}}"
grounding_run1,L,L2,True,False,True,True,True,True,True,True,True,True,,True,"{""variable"": ""Lactate"", ""operator"": null, ""threshold"": [1.6, 2.5], ""unit"": ""mmol/L"", ""statement_type"": ""diagnostic_criterion"", ""consequent"": {""predicate"": ""definesOrDiagnoses"", ""object"": ""Sepsis""}}"
grounding_run1,L,L3,True,True,True,False,True,True,True,True,True,True,,True,"{""variable"": ""Lactate"", ""operator"": "">"", ""threshold"": null, ""unit"": null, ""statement_type"": ""diagnostic_criterion"", ""consequent"": {""predicate"": ""definesOrDiagnoses"", ""object"": ""SepticShock""}}"
grounding_run1,M,M1,True,False,True,True,True,True,True,True,True,True,,True,"{""variable"": ""Arterial Blood Pressure mean"", ""operator"": null, ""threshold"": 65, ""unit"": ""mm Hg"", ""statement_type"": ""treatment_target"", ""consequent"": {""predicate"": ""targetOf"", ""object"": ""SepticShock""}}"
grounding_run1,M,M2,True,False,True,True,True,True,True,True,True,True,,True,"{""variable"": ""Arterial Blood Pressure mean"", ""operator"": ""<"", ""threshold"": 60, ""unit"": ""mm Hg"", ""statement_type"": ""risk_condition"", ""consequent"": {""predicate"": ""associatedWith"", ""object"": ""OrganHypoperfusion""}}"
grounding_run1,K,K1,True,False,True,True,True,True,True,True,True,True,,True,"{""variable"": ""anchor_age"", ""operator"": "">="", ""threshold"": 65, ""unit"": ""years"", ""statement_type"": ""risk_condition"", ""consequent"": {""predicate"": ""increasesRiskOf"", ""object"": ""Sepsis""}}"
grounding_run1,K,K2,True,False,True,True,True,True,True,True,True,True,,True,"{""variable"": ""C-Reactive Protein"", ""operator"": "">="", ""threshold"": 100, ""unit"": ""mg/L"", ""statement_type"": ""risk_condition"", ""consequent"": {""predicate"": ""increasesRiskOf"", ""object"": ""Death""}}"
grounding_run1,K,K3,True,False,True,True,True,True,True,True,True,True,,True,"{""variable"": ""Lactate"", ""operator"": "">="", ""threshold"": 4, ""unit"": ""mmol/L"", ""statement_type"": ""risk_condition"", ""consequent"": {""predicate"": ""increasesRiskOf"", ""object"": ""Death""}}"
grounding_run1,K,K4,True,False,True,True,True,True,True,True,True,True,,True,"{""variable"": ""White Blood Cells"", ""operator"": "">="", ""threshold"": 30, ""unit"": ""K/uL"", ""statement_type"": ""risk_condition"", ""consequent"": {""predicate"": ""increasesRiskOf"", ""object"": ""Death""}}"
grounding_run1,K,K5,True,False,True,True,True,True,True,True,True,True,,True,"{""variable"": ""Total Bilirubin"", ""operator"": "">="", ""threshold"": 2, ""unit"": ""mg/dL"", ""statement_type"": ""risk_condition"", ""consequent"": {""predicate"": ""increasesRiskOf"", ""object"": ""Death""}}"
grounding_run1,K,K6,True,False,True,True,True,True,True,True,True,True,,True,"{""variable"": ""Platelet Count"", ""operator"": ""<="", ""threshold"": 50, ""unit"": ""K/uL"", ""statement_type"": ""risk_condition"", ""consequent"": {""predicate"": ""increasesRiskOf"", ""object"": ""Death""}}"
grounding_run1,K,K7,True,False,True,True,True,True,True,True,True,True,,True,"{""variable"": ""Arterial Blood Pressure mean"", ""operator"": ""<="", ""threshold"": 65, ""unit"": ""mmHg"", ""statement_type"": ""risk_condition"", ""consequent"": {""predicate"": ""increasesRiskOf"", ""object"": ""Death""}}"
grounding_run1,K,K8,True,False,True,True,True,True,True,True,True,True,,True,"{""variable"": ""cancer"", ""operator"": ""present"", ""threshold"": null, ""unit"": ""0/1 flag"", ""statement_type"": ""risk_condition"", ""consequent"": {""predicate"": ""increasesRiskOf"", ""object"": ""Death""}}"
grounding_run1,K,K9,True,False,True,True,True,True,True,True,True,True,,True,"{""variable"": ""pneumonia"", ""operator"": ""present"", ""threshold"": null, ""unit"": ""0/1 flag"", ""statement_type"": ""risk_condition"", ""consequent"": {""predicate"": ""increasesRiskOf"", ""object"": ""Death""}}"
