first_careunit,2008-2010,2011-2013,2014-2016,2017-2019,2020-2022,TOTAL
Medical Intensive Care Unit (MICU),6200,3307,2724,2164,1175,15570
Cardiac Vascular Intensive Care Unit (CVICU),3201,2696,3041,2601,1859,13398
Medical/Surgical Intensive Care Unit (MICU/SICU),4563,2422,2068,1569,955,11577
Surgical Intensive Care Unit (SICU),3441,2703,2336,1052,732,10264
Coronary Care Unit (CCU),2840,1839,1689,1278,808,8454
Trauma SICU (TSICU),2216,1813,1687,1296,920,7932
Neuro Intermediate,363,343,344,1964,1813,4827
Neuro Surgical Intensive Care Unit (Neuro SICU),138,105,223,581,398,1445
Neuro Stepdown,108,61,428,474,0,1071
Surgery/Vascular/Intermediate,25,16,12,13,77,143
PACU,10,2,11,10,55,88
Intensive Care Unit (ICU),3,3,3,7,15,31
Medicine,1,1,2,2,10,16
Surgery/Trauma,1,1,2,0,6,10
Med/Surg,0,0,1,0,0,1
Medicine/Cardiology Intermediate,0,0,0,0,1,1
Neurology,0,0,0,1,0,1
