cu,step3,final,진입률%,delirium%,mort%,los,age
CVICU,10616,4719,44.5,15.7,2.1,2.862696759259259,69.0
MICU,9272,3708,40.0,33.2,12.4,2.8964930555555553,64.0
MICU/SICU,7444,3222,43.3,20.3,12.8,2.581568287037037,66.0
SICU,7093,3060,43.1,24.3,7.1,2.9048900462962965,64.0
CCU,5742,2968,51.7,16.3,8.6,2.8402719907407405,72.0
TSICU,5926,2648,44.7,29.2,7.4,2.952309027777778,64.0
NeuroInt,3635,2535,69.7,15.6,1.1,3.805925925925926,66.0
NeuroStep,831,548,65.9,18.1,0.5,3.1902777777777778,64.0
NeuroSICU,1091,422,38.7,41.5,18.2,3.38984375,67.0
기타,188,109,58.0,73.4,15.6,13.894074074074076,65.0
