cohort,scope,stays,hadm,patients,mort_hosp_pct,mort_30d_pct,mort_1y_pct,age_median,age_q1,age_q3,female_pct,icu_los_median,icu_los_q1,icu_los_q3,hosp_los_median,emergency_pct
C1_MICU_2014_2019,all_stays,4888,4574,4116,19.11,24.24,40.65,64.0,52.0,75.0,44.46,2.82,1.75,5.64,9.55,79.17
C1_MICU_2014_2019,first_stay_per_hadm,4335,4335,3923,17.88,22.95,38.99,64.0,52.0,75.0,44.66,2.76,1.73,5.37,8.67,79.7
C1_MICU_2014_2019,first_stay_per_patient,3351,3351,3351,18.35,22.92,36.44,63.0,51.0,75.0,44.82,2.74,1.73,5.43,8.64,81.26
C2_MICU+MICUSICU_2014_2019,all_stays,8525,7909,6871,18.93,24.72,41.71,65.0,53.0,76.0,45.87,2.61,1.68,4.92,9.22,75.59
C2_MICU+MICUSICU_2014_2019,first_stay_per_hadm,7593,7593,6628,17.54,23.15,39.94,65.0,52.0,76.0,45.9,2.56,1.66,4.77,8.48,75.93
C2_MICU+MICUSICU_2014_2019,first_stay_per_patient,5884,5884,5884,17.76,22.81,37.46,64.0,51.0,76.0,46.24,2.52,1.65,4.78,8.46,76.72
C3_allICU_allera,all_stays,74829,68546,54551,11.93,15.31,28.95,67.0,55.0,77.0,43.25,2.5,1.6,4.7,8.18,70.44
C3_allICU_allera,first_stay_per_hadm,67224,67224,53714,11.03,14.3,27.54,67.0,55.0,77.0,43.49,2.42,1.57,4.49,7.64,69.91
C3_allICU_allera,first_stay_per_patient,51838,51838,51838,10.65,13.41,24.32,67.0,55.0,77.0,43.02,2.38,1.54,4.47,7.55,68.95
C1b_MICU_allera,all_stays,15570,14649,12235,17.49,22.56,40.12,65.0,53.0,77.0,45.77,2.68,1.7,5.07,8.7,87.17
C1b_MICU_allera,first_stay_per_hadm,13903,13903,11675,16.13,21.09,38.47,65.0,53.0,77.0,46.11,2.61,1.68,4.92,7.84,87.53
C1b_MICU_allera,first_stay_per_patient,9272,9272,9272,16.9,21.12,35.44,64.0,52.0,77.0,45.57,2.64,1.68,5.03,7.86,88.19
C2b_MICU+MICUSICU_allera,all_stays,27147,25367,20252,17.1,22.48,40.69,66.0,54.0,77.0,47.08,2.49,1.64,4.65,8.54,83.91
C2b_MICU+MICUSICU_allera,first_stay_per_hadm,24410,24410,19582,15.61,20.91,39.01,66.0,54.0,77.0,47.37,2.39,1.62,4.44,7.79,84.15
C2b_MICU+MICUSICU_allera,first_stay_per_patient,16716,16716,16716,16.03,20.82,36.0,65.0,53.0,78.0,47.46,2.39,1.62,4.52,7.84,84.23
