table,rows,cols,sec,subject_id,hadm_id,stay_id,n_hadm,n_stay
admissions,546028,16,0.1,True,True,False,546028.0,
caregiver,17984,1,0.0,False,False,False,,
chartevents,432997491,11,41.8,True,True,True,,94450.0
d_hcpcs,89208,4,0.0,False,False,False,,
d_icd_diagnoses,112107,3,0.0,False,False,False,,
d_icd_procedures,86423,3,0.0,False,False,False,,
d_items,4095,9,0.0,False,False,False,,
d_labitems,1650,4,0.0,False,False,False,,
datetimeevents,9979761,10,0.9,True,True,True,,93601.0
diagnoses_icd,6364488,5,0.1,True,True,False,545497.0,
drgcodes,761856,7,0.0,True,True,False,394933.0,
emar,42808593,12,5.6,True,True,False,292430.0,
emar_detail,87371064,33,8.3,True,False,False,,
hcpcsevents,186074,6,0.0,True,True,False,145364.0,
icustays,94458,8,0.0,True,True,True,,94458.0
ingredientevents,14253480,17,1.8,True,True,True,,84155.0
inputevents,10953713,26,2.4,True,True,True,,84345.0
labevents,158374764,16,15.9,True,True,False,447689.0,
microbiologyevents,3988224,25,0.7,True,True,False,201096.0,
omr,7753027,5,0.3,True,False,False,,
outputevents,5359395,9,0.4,True,True,True,,91510.0
patients,364627,6,0.0,True,False,False,,
pharmacy,17847567,27,3.4,True,True,False,463328.0,
poe,52212109,12,4.4,True,True,False,538616.0,
poe_detail,8504982,5,0.4,True,False,False,,
prescriptions,20292611,21,2.9,True,True,False,463328.0,
procedureevents,808706,22,0.1,True,True,True,,84366.0
procedures_icd,859655,6,0.0,True,True,False,287504.0,
provider,42244,1,0.0,False,False,False,,
services,593071,5,0.0,True,True,False,546012.0,
transfers,2413581,7,0.2,True,True,False,546024.0,
